iter	Passed	Remaining
0	49	24940
1	52	13050
2	54	9107
3	56	7049
4	58	5834
5	61	5076
6	64	4529
7	67	4152
8	69	3800
9	71	3505
10	73	3284
11	76	3116
12	78	2949
13	80	2804
14	83	2687
15	85	2579
16	87	2483
17	90	2417
18	92	2345
19	96	2304
20	98	2241
21	100	2192
22	102	2132
23	105	2085
24	107	2041
25	110	2020
26	113	1981
27	115	1947
28	117	1911
29	120	1884
30	122	1857
31	125	1828
32	127	1806
33	130	1788
34	133	1768
35	137	1770
36	139	1746
37	142	1728
38	144	1711
39	146	1689
40	149	1670
41	151	1655
42	154	1640
43	156	1622
44	158	1599
45	160	1584
46	162	1570
47	165	1555
48	169	1557
49	171	1541
50	173	1527
51	175	1515
52	179	1510
53	181	1497
54	184	1489
55	186	1479
56	189	1469
57	191	1459
58	194	1452
59	197	1446
60	199	1439
61	202	1430
62	204	1419
63	206	1408
64	209	1399
65	211	1390
66	213	1381
67	216	1372
68	218	1361
69	220	1351
70	221	1341
71	224	1334
72	226	1325
73	229	1318
74	230	1307
75	232	1298
76	234	1290
77	237	1282
78	238	1272
79	240	1263
80	242	1256
81	245	1252
82	247	1242
83	248	1230
84	250	1223
85	252	1216
86	255	1211
87	257	1205
88	259	1197
89	261	1190
90	262	1182
91	264	1173
92	266	1164
93	267	1157
94	269	1150
95	271	1143
96	273	1137
97	276	1133
98	277	1125
99	279	1117
100	281	1110
101	282	1103
102	284	1097
103	286	1091
104	288	1083
105	289	1076
106	290	1068
107	292	1061
108	293	1053
109	295	1046
110	296	1039
111	297	1031
112	298	1023
113	300	1016
114	301	1009
115	302	1001
116	303	993
117	304	986
118	305	979
119	307	972
120	308	965
121	309	959
122	310	952
123	313	951
124	314	944
125	315	937
126	316	930
127	317	923
128	318	916
129	319	909
130	320	902
131	321	895
132	322	889
133	323	882
134	324	876
135	324	869
136	326	864
137	328	860
138	328	854
139	329	848
140	331	844
141	332	837
142	333	833
143	334	827
144	335	822
145	336	816
146	338	812
147	339	807
148	340	802
149	341	797
150	343	793
151	344	788
152	345	783
153	346	778
154	347	773
155	348	769
156	350	764
157	351	760
158	352	755
159	353	751
160	354	746
161	355	742
162	356	737
163	358	735
164	359	730
165	361	726
166	362	721
167	363	717
168	364	713
169	365	709
170	366	705
171	367	700
172	368	696
173	369	691
174	370	687
175	371	684
176	372	679
177	373	675
178	374	670
179	374	666
180	375	662
181	376	658
182	377	654
183	379	650
184	380	647
185	381	643
186	382	639
187	383	636
188	384	632
189	385	628
190	386	625
191	388	622
192	389	618
193	390	615
194	391	612
195	392	609
196	394	606
197	395	602
198	396	599
199	397	596
200	398	593
201	399	589
202	400	586
203	401	583
204	403	580
205	404	576
206	405	573
207	406	570
208	407	567
209	409	564
210	410	561
211	411	559
212	412	556
213	414	553
214	415	550
215	416	547
216	417	544
217	418	541
218	419	538
219	420	535
220	422	533
221	423	530
222	424	527
223	426	525
224	427	522
225	428	519
226	429	516
227	431	514
228	432	511
229	433	508
230	434	506
231	435	503
232	436	500
233	438	498
234	439	495
235	440	492
236	441	490
237	442	487
238	443	484
239	444	481
240	445	478
241	446	476
242	447	473
243	448	470
244	450	468
245	451	466
246	452	463
247	453	460
248	454	458
249	455	455
250	457	453
251	458	450
252	459	448
253	460	445
254	461	443
255	466	444
256	468	442
257	469	440
258	470	438
259	472	436
260	473	433
261	475	431
262	476	429
263	477	427
264	478	424
265	480	422
266	481	420
267	483	418
268	484	416
269	486	414
270	487	412
271	489	410
272	490	408
273	492	406
274	493	404
275	495	402
276	497	400
277	499	398
278	501	397
279	503	395
280	504	393
281	506	391
282	507	389
283	509	387
284	511	385
285	513	384
286	515	382
287	517	380
288	519	379
289	520	377
290	522	375
291	525	374
292	527	372
293	529	371
294	532	369
295	534	368
296	537	367
297	539	365
298	541	364
299	544	362
300	547	361
301	549	360
302	550	358
303	552	356
304	555	355
305	557	353
306	560	352
307	563	351
308	565	349
309	567	347
310	570	346
311	571	344
312	573	342
313	575	341
